Knysna Local Municipality,WC048,,,,,
Kopanong Local Municipality,FS162,,,,,
Kou-Kamma Local Municipality,EC109,,,,,
Kouga Local Municipality,EC108,,,,,
KwaDukuza Local Municipality,KZN292,,,,,
Laingsburg Local Municipality,WC051,,,,,
Langeberg Local Municipality,WC026,,,,,
Lekwa Local Municipality,MP305,,,,,
Lekwa-Teemane Local Municipality,NW396,,,,,
Lepelle-Nkumpi Local Municipality,LIM355,,,,,
Lephalale Local Municipality,LIM362,,,,,
Lesedi Local Municipality,GT423,,,,,
Letsemeng Local Municipality,FS161,,,,,
Madibeng Local Municipality,NW372,,,,,
Mafube Local Municipality,FS205,,,,,
Magareng Local Municipality,NC093,,,,,
Mahikeng Local Municipality,NW383,,,,,
Makana Local Municipality,EC104,,,,,
Makhado Local Municipality,LIM344,,,,,
Makhuduthamaga Local Municipality,LIM473,,,,,
Maluti-a-Phofung Local Municipality,FS194,,,,,
Mamusa Local Municipality,NW393,,,,,
Mandeni Local Municipality,KZN291,,,,,
Mantsopa Local Municipality,FS196,,,,,
Maphumulo Local Municipality,KZN294,,,,,
Maquassi Hills Local Municipality,NW404,,,,,
Maruleng Local Municipality,LIM335,,,,,
Masilonyana Local Municipality,FS181,,,,,
Matatiele Local Municipality,EC441,,,,,
Matjhabeng Local Municipality,FS184,,,,,
Matzikama Local Municipality,WC011,,,,,
Mbhashe Local Municipality,EC121,,,,,
Mbizana Local Municipality,EC443,,,,,
Mbombela Local Municipality,MP326,,,,,
Merafong City Local Municipality,GT484,,,,,
Metsimaholo Local Municipality,FS204,,,,,
Mhlontlo Local Municipality,EC156,,,,,
Midvaal Local Municipality,GT422,,,,,
Mkhambathini Local Municipality,KZN226,,,,,
Mkhondo Local Municipality,MP303,,,,,
Mnquma Local Municipality,EC122,,,,,
Modimolle–Mookgophong Local Municipality,LIM368,,,,,
Mogalakwena Local Municipality,LIM367,,,,,
Mogale City Local Municipality,GT481,,,,,
Mohokare Local Municipality,FS163,,,,,
Molemole Local Municipality,LIM353,,,,,
Moqhaka Local Municipality,FS201,,,,,
Moretele Local Municipality,NW371,,,,,
Moses Kotane Local Municipality,NW375,,,,,
Mossel Bay Local Municipality,WC043,,,,,
Mpofana Local Municipality,KZN223,,,,,
Msinga Local Municipality,KZN244,,,,,
Msukaligwa Local Municipality,MP302,,,,,
Msunduzi Local Municipality,KZN225,,,,,
Mthonjaneni Local Municipality,KZN285,,,,,
Mtubatuba Local Municipality,KZN275,,,,,
Musina Local Municipality,LIM341,,,,,
Nala Local Municipality,FS185,,,,,
Naledi Local Municipality,NW392,,,,,
Nama Khoi Local Municipality,NC062,,,,,
Ndlambe Local Municipality,EC105,,,,,
Ndwedwe Local Municipality,KZN293,,,,,
Newcastle Local Municipality,KZN252,,,,,
Ngqushwa Local Municipality,EC126,,,,,
Ngwathe Local Municipality,FS203,,,,,
Nkandla Local Municipality,KZN286,,,,,
Nketoana Local Municipality,FS193,,,,,
Nkomazi Local Municipality,MP324,,,,,
Nongoma Local Municipality,KZN265,,,,,
Nqutu Local Municipality,KZN242,,,,,
Ntabankulu Local Municipality,EC444,,,,,
Nyandeni Local Municipality,EC155,,,,,
Okhahlamba Local Municipality,KZN235,,,,,
Oudtshoorn Local Municipality,WC045,,,,,
Overstrand Local Municipality,WC032,,,,,
Phokwane Local Municipality,NC094,,,,,
Phumelela Local Municipality,FS195,,,,,
Pixley ka Seme Local Municipality,MP304,,,,,
Polokwane Local Municipality,LIM354,,,,,
Port St Johns Local Municipality,EC154,,,,,
Prince Albert Local Municipality,WC052,,,,,
Ramotshere Moiloa Local Municipality,NW385,,,,,
Rand West City Local Municipality,GT485,,,,,
Ratlou Local Municipality,NW381,,,,,
Ray Nkonyeni Local Municipality,KZN216,,,,,
Raymond Mhlaba Local Municipality,EC129,,,,,
Renosterberg Local Municipality,NC075,,,,,
Richmond Local Municipality,KZN227,,,,,
Richtersveld Local Municipality,NC061,,,,,
Rustenburg Local Municipality,NW373,,,,,
Sakhisizwe Local Municipality,EC138,,,,,
Saldanha Bay Local Municipality,WC014,,,,,
Senqu Local Municipality,EC142,,,,,
Setsoto Local Municipality,FS191,,,,,
Siyancuma Local Municipality,NC078,,,,,
Siyathemba Local Municipality,NC077,,,,,
Sol Plaatje Local Municipality,NC091,,,,,
Stellenbosch Local Municipality,WC024,,,,,
Steve Tshwete Local Municipality,MP313,,,,,
Sundays River Valley Local Municipality,EC106,,,,,
Swartland Local Municipality,WC015,,,,,
Swellendam Local Municipality,WC034,,,,,
Thaba Chweu Local Municipality,MP321,,,,,
Thabazimbi Local Municipality,LIM361,,,,,
Theewaterskloof Local Municipality,WC031,,,,,
Thembelihle Local Municipality,NC076,,,,,
Thembisile Hani Local Municipality,MP315,,,,,
Thulamela Local Municipality,LIM343,,,,,
Tokologo Local Municipality,FS182,,,,,
Tsantsabane Local Municipality,NC085,,,,,
Tswaing Local Municipality,NW382,,,,,
Tswelopele Local Municipality,FS183,,,,,
Ubuhlebezwe Local Municipality,KZN434,,,,,
Ubuntu Local Municipality,NC071,,,,,
Ulundi Local Municipality,KZN266,,,,,
Umdoni Local Municipality,KZN212,,,,,
uMfolozi Local Municipality,KZN281,,,,,
uMhlabuyalingana Local Municipality,KZN271,,,,,
uMhlathuze Local Municipality,KZN282,,,,,
uMlalazi Local Municipality,KZN284,,,,,
uMngeni Local Municipality,KZN222,,,,,
uMshwathi Local Municipality,KZN221,,,,,
Umsobomvu Local Municipality,NC072,,,,,
uMuziwabantu Local Municipality,KZN214,,,,,
Umvoti Local Municipality,KZN245,,,,,
Umzimkhulu Local Municipality,KZN435,,,,,
Umzimvubu Local Municipality,EC442,,,,,
Umzumbe Local Municipality,KZN213,,,,,
uPhongolo Local Municipality,KZN262,,,,,
Victor Khanye Local Municipality,MP311,,,,,
Walter Sisulu Local Municipality,EC145,,,,,
Witzenberg Local Municipality,WC022,,,,,
